Base Word,Guideword,Level,Part of Speech,Topic
cattle,,B1,,animals
clothes,,A1,,clothes
albeit,,C2,,
although,BUT,B1,,communication
although,DESPITE,B1,,communication
and,ALSO,A1,,communication
and,AFTER,A1,,communication
and,AFTER VERB,A2,,communication
and,EMPHASIZE,B1,,communication
as,BECAUSE,A2,,communication
because,,A1,,communication
but,DIFFERENT STATEMENT,A1,,communication
close,,B1,,describing things
as,JOB,A1,,work
after,,B1,,
and,NUMBERS,A1,,
as,USE,A2,,
as,BEING OR APPEARING,B1,,
as,WHILE,B1,,
as,LIKE,B1,,
before,EARLIER,A2,,
before,TO AVOID SOMETHING,B1,,
before,UNTIL,B1,,
but,EXPLAINING WHY,B1,,
eight,,A1,,
eighteen,,A1,,
eighth,,A2,,
eighty,,A2,,
eleven,,A1,,
fifteen,,A1,,
fifth,,A2,,
fifty,,A2,,
five,,A1,,
forty,NUMBER,A2,,
four,,A1,,
fourteen,,A1,,
fourth,,A2,,
however,,C2,,
hundred,NUMBER,A2,,
if,DEPENDING,A2,,
if,ALWAYS,B1,,
if,MIGHT,B1,,
if,WHETHER,B1,,
if,WOULD/MIGHT/COULD HAVE,B2,,
million,NUMBER,A2,,
insofar as,,C2,,
like,,B1,,
nine,,A1,,
nineteen,,A1,,
ninety,NUMBER,A2,,
ninth,,A2,,
now,,B2,,
only,,C2,,communication
or,POSSIBILITIES,A1,,communication
or,NOT EITHER,A2,,communication
or,WARNING,B1,,communication
or,CHANGE,B2,,communication
provided (that),,B2,,communication
politically,,C1,,
once,,B2,,
one,,A1,,
or,REASON,C1,,
plus,,B1,,
seventy,,A2,,
so,SENTENCE BEGINNING,A2,,communication
second,ANOTHER,B1,,describing things
second,AFTER FIRST,A1,,
second,"ONLY ONE BETTER/BIGGER, ETC.",B1,,
seven,,A1,,
seventeen,,A1,,
seventh,,A2,,
since,TIME,B1,,
since,BECAUSE,B1,,
six,,A1,,
sixteen,,A1,,
sixth,,A2,,
sixty,,A2,,
so,REASON,A2,,
ten,,A1,,
that,,A2,,
zero,NUMBER,A2,,
while,ALTHOUGH,B2,,communication
whereas,,B2,,communication
while,COMPARING,B1,,communication
zero,TEMPERATURE,B1,,natural world
third,,A2,,
thirteen,,A1,,
thirty,,A2,,
though,DESPITE,B1,,
though,BUT,B2,,
thousand,NUMBER,A2,,
three,,A1,,
till,,B1,,
to,INFINITIVE,A1,,
to,REASON,A2,,
to,INSTEAD OF VERB,A2,,
twelve,,A1,,
twenty,NUMBER,A1,,
two,NUMBER,A1,,
unless,,B1,,
until,TIME,B1,,
until,DIRECTIONS,B1,,
when,AT WHAT TIME,A2,,
when,ALTHOUGH,B2,,
whenever,EVERY TIME,B1,,
where,POSITION,A2,,
where,PROCESS/ACTIVITY,B2,,
wherever,EVERY PLACE,B1,,
whether,IF,B1,,
while,DURING,A2,,
yet,,B1,,
caution,,C2,verb,communication
advertisement,,A2,noun,arts and media
address,SPEAK,C2,verb,communication
assert,,C1,verb,communication
cash,MONEY,B1,noun,money
acquire,GET,B2,verb,people: actions
click,PEOPLE,C2,verb,relationships
bike,MOTORCYCLE,B1,noun,travel
clarification,,C1,noun,
acknowledge,SAY RECEIVED,C1,verb,
aid,,C1,verb,
applaud,PRAISE,C2,verb,
cease,,B2,verb,
carrot,REWARD,C2,noun,
character,PERSON,C2,noun,
ages,,B1,noun,
bunch,PEOPLE,B1,noun,
click,IDEA,C2,verb,
birth,BEGINNING,C1,noun,
approval,PERMISSION,B2,noun,communication
chemical,,B2,noun,natural world
appearance,IN PUBLIC,B2,noun,arts and media
assurance,PROMISE,C1,noun,communication
allowance,MONEY,C1,noun,money
assistance,,B2,noun,people: actions
appearance,WAY YOU LOOK,B1,noun,people: appearance
assurance,CONFIDENCE,C2,noun,people: personality
appearance,BECOMING AVAILABLE,B2,noun,shopping
assistant,LESS IMPORTANT JOB,B1,noun,work
bestseller,,B2,noun,arts and media
beginner,,A2,noun,people: personality
browser,,B2,noun,technology
CD player,,A1,noun,technology
backpacker,,B1,noun,travel
bumper,,B2,noun,travel
adviser,,C1,noun,work
babysitter,,B1,noun,work
barber,,B1,noun,work
builder,,B1,noun,work
cleaner,PERSON,A2,noun,work
classic,,B2,noun,arts and media
characteristic,,B2,noun,describing things
clothing,,B2,noun,clothes
catering,,B2,noun,food and drink
central heating,,B1,noun,homes and buildings
boxing,,B1,noun,shopping
backpacking,,B1,noun,travel
camping,,A2,noun,travel
booking,,B1,noun,travel
animation,,B1,noun,arts and media
allegation,,C1,noun,communication
addition,NUMBERS/AMOUNTS,B2,noun,describing things
admission,PERMISSION,B2,noun,education
admission,MONEY,B1,noun,money
action,ACTIVITY,B1,noun,people: actions
action,DO,B2,noun,people: actions
calculation,,B2,noun,people: actions
admiration,,B2,noun,people: personality
ambition,STRONG FEELING,B2,noun,people: personality
appreciation,,B2,noun,people: personality
affection,,B2,noun,people: personality
attraction,FEELING,C2,noun,relationships
adoption,,B2,noun,relationships
celebration,,B1,noun,relationships
application,COMPUTER SOFTWARE,B2,noun,technology
capitalism,,C2,noun,politics
archaeologist,,C1,noun,work
clarity,,C2,noun,communication
capacity,AMOUNT,B2,noun,describing things
capacity,ABILITY,B2,noun,people: personality
capacity,JOB,C1,noun,work
activity,WORK,B2,noun,work
agreement,DECISION,B2,noun,communication
argument,DISAGREEMENT,B1,noun,communication
argument,REASON,B2,noun,communication
agreement,SAME OPINION,B2,noun,communication
arrangement,AGREEMENT,B2,noun,communication
achievement,,B1,noun,people: actions
adjustment,,B2,noun,people: actions
assessment,,B2,noun,people: actions
amazement,,B2,noun,people: personality
amusement,FEELING,B2,noun,people: personality
astonishment,,B2,noun,people: personality
attachment,COMPUTING,B2,noun,technology
appointment,JOB,C2,noun,work
blindness,NOT SEEING,C1,noun,body and health
carelessness,,B2,noun,people: personality
cheerfulness,,C2,noun,people: personality
ancestor,,B2,noun,relationships
championship,,B1,noun,shopping
bravery,,B2,noun,people: personality
abortion,,C1,noun,body and health
addiction,,B2,noun,body and health
animal,NOT A HUMAN,A1,noun,animals
ant,,B1,noun,animals
baby,ANIMAL,A2,noun,animals
bat,ANIMAL,B1,noun,animals
beak,,C1,noun,animals
bear,,A2,noun,animals
bee,,B1,noun,animals
bird,,A1,noun,animals
breed,,B2,noun,animals
bug,INSECT,B1,noun,animals
bull,,B1,noun,animals
butterfly,,B1,noun,animals
cage,,B1,noun,animals
calf,ANIMAL,B1,noun,animals
camel,,B1,noun,animals
cat,,A1,noun,animals
cell,ORGANISM,B2,noun,animals
chicken,BIRD,A2,noun,animals
bark,DOG,B2,verb,animals
breed,KEEP ANIMALS,B2,verb,animals
act,THEATRE,B1,noun,arts and media
ad,,B1,noun,arts and media
advert,,B1,noun,arts and media
album,MUSIC,A2,noun,arts and media
article,NEWSPAPER,B1,noun,arts and media
beat,MUSIC,B2,noun,arts and media
biography,,B1,noun,arts and media
book,FOR READING,A1,noun,arts and media
bow,MUSIC,C2,noun,arts and media
camera,,A1,noun,arts and media
cartoon,FILM,A2,noun,arts and media
cartoon,DRAWING,A2,noun,arts and media
cello,,B2,noun,arts and media
channel,TV,A2,noun,arts and media
chapter,,B1,noun,arts and media
character,IN A STORY,B1,noun,arts and media
chat show,,B1,noun,arts and media
circus,,B1,noun,arts and media
clown,,A2,noun,arts and media
art,"PAINTINGS/DRAWINGS, ETC.",A2,noun,arts and media
brass,MUSIC,C2,noun,arts and media
cable,TELEVISION/TELEPHONE,B1,noun,arts and media
cinema,ART,C1,noun,arts and media
background,PICTURE,B2,noun,arts and media
ballet,,B1,noun,arts and media
accompany,MUSIC,C2,verb,arts and media
act,PERFORM,B1,verb,arts and media
advertise,TRY TO SELL,B1,verb,arts and media
broadcast,,B2,verb,arts and media
accident,BAD EVENT,A2,noun,body and health
ache,,B1,noun,body and health
ankle,,B1,noun,body and health
antibiotic,,C2,noun,body and health
arm,BODY,A1,noun,body and health
back,BODY,A2,noun,body and health
beat,REGULAR SOUND,B2,noun,body and health
bite,INJURY,B2,noun,body and health
blister,,C2,noun,body and health
body,PERSON,A1,noun,body and health
body,NOT ARMS/LEGS,B1,noun,body and health
bottom,BODY PART,B1,noun,body and health
brain,IN HEAD,A2,noun,body and health
breakdown,ILLNESS,B2,noun,body and health
